sku,brand,original_name,display_title,product_type,volume,collection,fragrance,stock,aging,trade_price,has_image,has_description,tier,evidence_A,evidence_B,evidence_C,fragrance_A,independent_sources,independent_A,independent_bestseller,independent_ru_retail,promotion_rank,high_stock_push,promotion_blocked,rationale
382777,Castelbel,Цветы хлопка / Cotton Flower ароматическое саше,Цветы хлопка,scented_sachet,,,Cotton Flower,2,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
22fimr,Millefiori Milano,Hydro/концентрат для арома лампы Цветок мимозы 15 ml,Цветок мимозы,water_soluble_fragrance,15 мл,,Mimosa Flower,2,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
98049E,WoodWick,Woodwick/ Свеча маленькая Пряная ежевика 85 гр.,Пряная ежевика,candle,85 г,,Пряная ежевика,1,unknown,null,False,False,SLOW,0,0,1,0,0,0,0,0,,False,True,"Конфликт SKU: editorial связывает 98049E с Coastal Sunset, исходное название — Пряная ежевика. Нужна сверка упаковки/штрихкода. Продвижение заблокировано. Нет пригодного существующего фото."
5432311112,AROMAgroup,Табак и ваниль картридж AG 110мл пласт.,Табак и ваниль,machine_cartridge,110 мл,,Табак и ваниль,1,unknown,null,True,True,NORMAL,0,1,0,0,0,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
BD500TFU,TEATRO Fragranze Uniche,"TEATRO Диффузор с палочками BIANCO DIVINO / Божественный белый, 500 мл",BIANCO DIVINO,reed_diffuser,500 мл,,BIANCO DIVINO,1,unknown,null,True,True,STRONG,0,4,0,0,4,0,0,2,12,False,False,Есть прямой сигнал для аромата плюс независимая представленность либо два независимых российских продавца. Не статус бестселлера VOZDOOH.
LO250TFU,TEATRO Fragranze Uniche,"TEATRO Диффузор с палочками LOVE Luxury collection, 250 мл",LOVE,reed_diffuser,250 мл,Luxury collection,LOVE,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
ROU250TFU,TEATRO Fragranze Uniche,"TEATRO Диффузор с палочками ROSE OUD / Роза & Уд Luxury collection, 250 мл",ROSE OUD,reed_diffuser,250 мл,Luxury collection,ROSE OUD,2,unknown,null,True,True,NORMAL,0,3,0,0,3,0,0,1,17,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
DI250TFU,TEATRO Fragranze Uniche,"TEATRO Диффузор с палочками DIAMANTE / Алмаз Luxury Collection, 250 мл",DIAMANTE,reed_diffuser,250 мл,Luxury Collection,DIAMANTE,1,unknown,null,True,True,NORMAL,0,3,0,0,3,0,0,1,21,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
AG250TFU,TEATRO Fragranze Uniche,"TEATRO Диффузор с палочками BORGO DEGLI AGRUMI / Пригород цитрусовых, 250мл",BORGO DEGLI AGRUMI,reed_diffuser,250 мл,,BORGO DEGLI AGRUMI,2,unknown,null,True,True,NORMAL,0,2,0,0,2,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
655467,TEATRO Fragranze Uniche,"TEATRO Диффузор с палочками DOLCE VANIGLIA / Сладкая ваниль, 500 мл",DOLCE VANIGLIA,reed_diffuser,500 мл,,DOLCE VANIGLIA,2,unknown,null,True,True,STRONG,0,5,0,0,4,0,0,2,10,False,False,Есть прямой сигнал для аромата плюс независимая представленность либо два независимых российских продавца. Не статус бестселлера VOZDOOH.
9a227639-b1a0-11ed-a1a3-7c8bca00854e,AROMAgroup,Жидкость для промывки картридж AG 110мл пласт.,Жидкость для промывки,cleaning_fluid,110 мл,,,2,unknown,null,False,True,SLOW,0,1,0,0,1,0,0,0,,False,True,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса. Нет пригодного существующего фото.
N020325,VINOVE,Ароматизатор для автомобиля / VINOVE JEWELRY / LONDON / ЛОНДОН,Ароматизатор для автомобиля,car_fragrance,,VINOVE JEWELRY,LONDON,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N020316,VINOVE,Сменный блок ароматизатора SILVERSTONE / СИЛЬВЕРСТОУН,Сменный блок ароматизатора SILVERSTONE,car_refill,,,SILVERSTONE,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N020291,Christian Tortu,Аромадиффузор 250 мл Christian Tortu /TUBEROSE/ ТУБЕРОЗА,TUBEROSE,reed_diffuser,250 мл,,TUBEROSE,2,unknown,null,True,True,NORMAL,0,2,0,0,2,0,0,1,19,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N019873,Christian Tortu,Аромапопурри Christian Tortu /JARDIN CITRUS/ ЦИТРУСОВЫЕ САДЫ,JARDIN CITRUS,potpourri,,,JARDIN CITRUS,1,unknown,null,True,True,NORMAL,0,2,0,0,2,0,0,1,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N019834,Christian Tortu,Аромапопурри Christian Tortu /VERT FRAIS/ СВЕЖЕСТЬ ЗЕЛЕНИ,VERT FRAIS,potpourri,,,VERT FRAIS,1,unknown,null,True,True,NORMAL,0,2,0,0,2,0,0,1,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N019901,Christian Tortu,Керамическая ваза для аромапопурри Christian Tortu,Керамическая ваза для,potpourri_vessel,,,,2,unknown,null,True,True,NORMAL,0,2,0,0,2,0,0,2,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N019836,Christian Tortu,Сменный аромат для аромапопурри 15 мл Christian Tortu/JARDIN CITRUS/ ЦИТРУСОВЫЕ САДЫ,JARDIN CITRUS,potpourri_refresher,15 мл,,JARDIN CITRUS,1,unknown,null,True,True,NORMAL,0,2,0,0,2,0,0,1,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N019900,Christian Tortu,Сменный аромат для аромапопурри 15 мл Christian Tortu/VERT FRAIS/ СВЕЖЕСТЬ ЗЕЛЕНИ,VERT FRAIS,potpourri_refresher,15 мл,,VERT FRAIS,1,unknown,null,True,True,NORMAL,0,2,0,0,2,0,0,1,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N020408,VINOVE,Сменный блок ароматизатора MARANELLO/ МАРАНЕЛЛО,Сменный блок ароматизатора MARANELLO,car_refill,,,MARANELLO,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N020566,VINOVE,Сменный блок ароматизатора MIAMI/ МАЯМИ,Сменный блок ароматизатора MIAMI,car_refill,,,MIAMI,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
76544,AROMAgroup,Магма картридж AG 100мл пласт.,Магма,machine_cartridge,100 мл,,Магма,2,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,1,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
223211,AROMAgroup,Текила Санрайз картридж AG 100мл пласт.,Текила Санрайз,machine_cartridge,100 мл,,Текила Санрайз,1,unknown,null,True,True,SLOW,0,0,1,0,0,0,0,0,,False,False,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса.
32131,AROMAgroup,Бордо картридж AG 110мл пласт.,Бордо,machine_cartridge,110 мл,,Бордо,3,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,True,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно. Остаток ≥3: отдельная очередь high-stock push; остаток не повышает силу спроса."
787532,AROMAgroup,Тадж- Махал картридж AG 110мл пласт.,Тадж- Махал,machine_cartridge,110 мл,,Тадж- Махал,1,unknown,null,True,True,SLOW,0,0,1,0,0,0,0,0,,False,False,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса.
137897,AROMAgroup,Бербери картридж AG 110мл пласт.,Бербери,machine_cartridge,110 мл,,Бербери,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
0789,AROMAgroup,Мальдивы картридж AG 110мл пласт.,Мальдивы,machine_cartridge,110 мл,,Мальдивы,1,unknown,null,True,True,NORMAL,0,1,0,0,0,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
99889898,AROMAgroup,Магма картридж AG 500мл пласт.,Магма,machine_cartridge,500 мл,,Магма,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,1,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
445445,,39 Сетевое з/у microUSB (СЗУ) 1.2 м.,39 Сетевое з,power_adapter,,,,4,unknown,null,False,True,SLOW,0,0,1,0,0,0,0,0,,True,True,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса. Нет пригодного существующего фото. Остаток ≥3: отдельная очередь high-stock push; остаток не повышает силу спроса.
2332,AROMAgroup,Красное дерево картридж AG 150мл пласт.,Красное дерево,machine_cartridge,150 мл,,Красное дерево,1,unknown,null,True,True,SLOW,0,0,1,0,0,0,0,0,,False,False,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса.
4356,AROMAgroup,Жидкость для промывки картридж AG 150мл пласт.,Жидкость для промывки,cleaning_fluid,150 мл,,,2,unknown,null,False,True,SLOW,0,1,0,0,1,0,0,0,,False,True,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса. Нет пригодного существующего фото.
3534657,AROMAgroup,Пачули картридж AG 150мл пласт.,Пачули,machine_cartridge,150 мл,,Пачули,1,unknown,null,True,True,NORMAL,0,1,0,0,0,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
088976,AROMAgroup,Мальдивы картридж AG 150мл пласт.,Мальдивы,machine_cartridge,150 мл,,Мальдивы,1,unknown,null,True,True,NORMAL,0,1,0,0,0,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
5445098,AROMAgroup,Тадж- Махал картридж AG 150мл пласт.,Тадж- Махал,machine_cartridge,150 мл,,Тадж- Махал,1,unknown,null,True,True,SLOW,0,0,1,0,0,0,0,0,,False,False,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса.
N020273,VINOVE,Ароматизатор для автомобиля VINOVE ORIGINAL WARSAW | ВАРШАВА белый с розовым золотом,Ароматизатор для автомобиля ORIGINAL WARSAW | ВАРШАВА белый с розовым золотом,car_fragrance,,VINOVE ORIGINAL,WARSAW,2,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
bf33a951-016c-11ed-b2a4-7c8bca00854e,CULTI MILANO,Decor Classic диффузор Aramara 1000 мл,Decor Classic Aramara,reed_diffuser,1000 мл,Decor Classic,Aramara,1,unknown,null,True,True,CORE / PRIORITY,1,4,0,3,5,3,2,1,2,False,False,Два независимых явных bestseller-сигнала для конкретного аромата; карточка имеет фото и описание. Подтверждение объёма ограничено указанными evidence.
bf33a957-016c-11ed-b2a4-7c8bca00854e,CULTI MILANO,Спрей для дома Aqqua 100 мл,Aqqua,room_spray,100 мл,,Aqqua,1,unknown,null,True,True,STRONG,0,2,0,1,2,1,0,0,8,False,False,Есть прямой сигнал для аромата плюс независимая представленность либо два независимых российских продавца. Не статус бестселлера VOZDOOH.
976878,CULTI MILANO,Decor Classic диффузор Aqqua 250мл,Decor Classic Aqqua,reed_diffuser,250 мл,Decor Classic,Aqqua,1,unknown,null,True,True,STRONG,0,2,0,1,2,1,0,0,7,False,False,Есть прямой сигнал для аромата плюс независимая представленность либо два независимых российских продавца. Не статус бестселлера VOZDOOH.
78768575,CULTI MILANO,Stile Limited Alba диффузор 250мл,Stile Limited Alba,reed_diffuser,250 мл,Stile Limited,Alba,2,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
1113,,Ротанговые палочки 1000мл,Ротанговые палочки,diffuser_sticks,,,,1,unknown,null,False,True,SLOW,0,0,1,0,0,0,0,0,,False,True,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса. Нет пригодного существующего фото.
121211,,Ротанговые палочки 500мл,Ротанговые палочки,diffuser_sticks,,,,1,unknown,null,False,True,SLOW,0,0,1,0,0,0,0,0,,False,True,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса. Нет пригодного существующего фото.
12132,CULTI MILANO,Спрей для дома Era 100 мл,Era,room_spray,100 мл,,Era,2,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
46091,CULTI MILANO,Спрей для дома  The 100 мл,The,room_spray,100 мл,,The,1,unknown,null,True,True,NORMAL,0,2,0,0,2,0,0,1,,False,False,"Представленность аромата подтверждена каталогами двух независимых продавцов (Candlesbox РФ и Bloomingdale's КСА); явные сигналы спроса (bestseller, отзывы) не подтвердились при повторной проверке. Не статус бестселлера VOZDOOH."
MF-FRAGR2.06,MAMI MILANO,"MAMI MILANO Диффузор с палочками NUVOLA DI COTONE / Хлопковое облако. Коллекция PALAZZO, 200 мл",NUVOLA DI COTONE,reed_diffuser,200 мл,PALAZZO,NUVOLA DI COTONE,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
MF-FRAGR2.11,MAMI MILANO,"MAMI MILANO Диффузор с палочками FUMO DI LONDRA / Лондонский туман. Коллекция PALAZZO, 200 мл",FUMO DI LONDRA,reed_diffuser,200 мл,PALAZZO,FUMO DI LONDRA,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
GI-FRAGR2.02,MAMI MILANO,"MAMI MILANO Аромадиффузор FIOR DI LOTO / Цветок лотоса. Коллекция GIARDINO, 200 мл",FIOR DI LOTO,reed_diffuser,200 мл,GIARDINO,FIOR DI LOTO,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
GI-FRAGR2.04,MAMI MILANO,"MAMI MILANO Аромадиффузор ROSE IN FIORE / Роза в цвету. Коллекция GIARDINO, 200 мл",ROSE IN FIORE,reed_diffuser,200 мл,GIARDINO,ROSE IN FIORE,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N020528,Lothantique,Аромадиффузор 200 мл/ AMBRE/АМБРА,AMBRE,reed_diffuser,200 мл,,AMBRE,2,unknown,null,True,True,SLOW,0,0,1,0,0,0,0,0,,False,False,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса.
N020468,Lothantique,Аромадиффузор 200 мл/ COTTONFLOWER/ БУКЕТХЛОПКА,COTTONFLOWER,reed_diffuser,200 мл,,COTTONFLOWER,2,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N020469,Lothantique,Аромадиффузор 200 мл/ FLOWERSOF JAPAN/ЯПОНСКИЙ САД,FLOWERSOF JAPAN,reed_diffuser,200 мл,,FLOWERSOF JAPAN,1,unknown,null,True,True,NORMAL,0,2,0,0,2,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N020458,Lothantique,Аромадиффузор 200 мл/ LES SECRETS D'ANTOINE/ СЕКРЕТЫ АНТУАНА,LES SECRETS D'ANTOINE,reed_diffuser,200 мл,,LES SECRETS D'ANTOINE,2,unknown,null,True,True,STRONG,2,1,0,2,2,2,0,0,5,False,False,Есть прямой сигнал для аромата плюс независимая представленность либо два независимых российских продавца. Не статус бестселлера VOZDOOH.
N020465,Lothantique,Аромадиффузор 200 мл/ SANDALWOOD/ САНДАЛ,SANDALWOOD,reed_diffuser,200 мл,,SANDALWOOD,2,unknown,null,True,True,NORMAL,0,2,0,1,1,1,0,0,15,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
N020486,,Комплект светлых палочек из ротанга 18 шт. размер 23 х 3 мм,Комплект светлых палочек из ротанга 18 шт. размер 23 х 3 мм,diffuser_sticks,,,,6,unknown,null,False,True,SLOW,0,0,1,0,0,0,0,0,,True,True,В выполненном поиске не найден надёжно сопоставленный сигнал либо карточка не готова; это не доказательство отсутствия спроса. Нет пригодного существующего фото. Остаток ≥3: отдельная очередь high-stock push; остаток не повышает силу спроса.
N020480,Lothantique,Сменный аромат 200 мл/ COTTON FLOWER/ БУКЕТ ХЛОПКА,COTTON FLOWER,diffuser_refill,200 мл,,COTTON FLOWER,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
55777,Ladenac Milano,Africa набор ваза Leopard Predator 1200мл и 2 рефилла,Africa набор ваза Leopard Predator и 2 рефилла,gift_set,1200 мл,Africa,Africa набор ваза Leopard Predator и 2 рефилла,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,1,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
98676,Ladenac Milano,Africa набор ваза Zebra Camouflage 1200мл и 2 рефилла,Africa набор ваза Zebra Camouflage и 2 рефилла,gift_set,1200 мл,Africa,Africa набор ваза Zebra Camouflage и 2 рефилла,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,1,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
6545367,Ladenac Milano,Africa свеча Zebra Camouflage 350г,Africa свеча Zebra Camouflage,candle,350 г,Africa,Africa свеча Zebra Camouflage,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,1,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
453478,Ladenac Milano,Oud Collection диффузор Satin Oud golden 750мл,Oud Collection Satin Oud golden,reed_diffuser,750 мл,Oud Collection,Oud Collection Satin Oud golden,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
3232434,Ladenac Milano,Urban Senses диффузор Caviar lime Holographic 500мл,Urban Senses Caviar lime Holographic,reed_diffuser,500 мл,Urban Senses,Urban Senses Caviar lime Holographic,1,unknown,null,True,True,NORMAL,0,2,0,0,2,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
39393848,Ladenac Milano,Urban Senses диффузор Eau de Cypres Rose gold 500мл,Urban Senses Eau de Cypres Rose gold,reed_diffuser,500 мл,Urban Senses,Urban Senses Eau de Cypres Rose gold,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
8411299000985,Ladenac Milano,Urban Senses диффузор Fleur de fruit Rose gold 500мл,Urban Senses Fleur de fruit Rose gold,reed_diffuser,500 мл,Urban Senses,Urban Senses Fleur de fruit Rose gold,1,unknown,null,True,True,NORMAL,0,1,0,0,1,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
983858,Ladenac Milano,Vent d'Arabie диффузор Chergui blue 500мл,Vent d'Arabie Chergui blue,reed_diffuser,500 мл,Vent d'Arabie,Vent d'Arabie Chergui blue,1,unknown,null,True,True,NORMAL,0,2,0,0,2,0,0,0,,False,False,"Подтверждена внешняя представленность аромата/модели, но сочетания сильных независимых сигналов недостаточно."
